X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Caffeine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Ethanol.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Nicotine.2.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.1.sorted.bam	X.scratch.Users.dara6367.SR2022.day7.bam.RNA.Human.Water.2.sorted.bam
LOC100506532	4	8	6	3	17	8	4	7
COL5A1	128	136	238	149	377	319	166	151
COL5A1-AS1	0	0	0	0	0	0	0	0
LOC101448202	23	25	42	39	80	48	23	51
MIR3689C	0	0	0	0	0	0	0	0
MIR3689A	0	0	0	0	0	0	0	0
MIR3689D1	0	0	0	0	0	0	0	0
MIR3689B	0	0	0	0	0	0	0	0
MIR3689D2	0	0	0	0	0	0	0	0
MIR3689E	0	0	0	0	0	0	0	0
MIR3689F	0	0	0	0	0	0	0	0
FCN2	0	0	0	0	0	0	0	0
FCN1	0	0	2	0	1	2	0	1
LOC105376314	9	5	3	6	8	26	11	4
LOC105376313	0	3	3	1	3	0	1	2
OLFM1	0	0	1	2	1	0	1	3
LOC102723948	0	0	0	0	0	0	0	0
LOC401557	0	0	0	0	0	0	0	0
LOC107987138	0	0	0	0	0	0	0	0
C9orf62	0	0	0	0	0	0	0	0
PPP1R26-AS1	13	10	5	17	14	15	12	6
PPP1R26	325	405	251	252	419	431	229	158
C9orf116	9	12	12	5	16	7	12	2
MRPS2	1069	1466	948	1032	1765	1808	907	714
LOC101928525	0	2	2	2	1	3	0	0
LCN1	0	0	0	0	0	0	0	0
OBP2A	0	0	0	0	0	0	0	0
LOC107987040	0	0	0	0	0	0	0	0
PAEP	0	0	0	0	0	0	0	0
LINC01502	0	1	0	0	0	0	0	0
LOC105376316	0	0	0	0	1	2	1	0
LOC102723971	0	0	0	0	0	0	0	0
GLT6D1	0	0	0	0	0	2	0	0
LCN9	0	0	0	0	0	0	1	0
LOC105376317	3	5	1	1	0	0	0	0
LOC105376318	0	0	0	0	0	0	0	0
SOHLH1	1	0	0	0	3	0	2	0
KCNT1	2	6	0	2	0	1	0	0
LOC107987139	1	6	2	4	2	3	2	0
LOC107987140	6	3	4	3	11	11	2	3
CAMSAP1	1777	2495	1531	1552	2872	2659	1456	1266
LOC107987141	255	463	299	247	447	371	214	177
UBAC1	1056	1494	984	1060	1947	1776	872	769
NACC2	651	1140	709	745	1417	1181	660	643
LOC105376322	0	0	0	0	0	0	0	0
LINC02846	39	45	22	31	72	50	30	36
TMEM250	703	1130	713	790	1399	1324	609	585
LHX3	1	3	1	1	4	1	0	1
QSOX2	2726	4108	2437	2312	4637	4104	2013	1811
LOC101928722	5	1	1	0	5	2	2	0
CCDC187	10	10	5	8	16	14	5	4
DKFZP434A062	0	0	0	0	1	0	0	0
GPSM1	0	4	0	1	4	7	2	0
DNLZ	119	220	144	128	324	250	94	98
CARD9	230	363	274	217	457	410	257	231
SNAPC4	708	1135	792	896	1561	1466	697	682
ENTR1	1147	1548	1111	1055	2157	1919	966	817
PMPCA	1052	1603	917	1195	2003	1992	942	787
INPP5E	1086	1542	819	797	1607	1456	685	614
SEC16A	4976	7268	4587	4544	8771	8197	4175	3477
C9orf163	9	6	10	4	11	11	4	7
NOTCH1	3677	5441	3177	3551	6253	6397	3325	3019
MIR4673	0	0	0	0	0	0	0	0
MIR4674	0	0	2	0	0	1	0	0
NALT1	47	72	68	34	109	97	55	39
LINC01451	6	7	1	2	15	8	7	1
LOC105376325	5	5	0	1	22	5	5	7
LOC102724193	0	1	0	0	0	3	1	0
HSPC324	3	0	0	0	0	0	0	0
EGFL7	9	7	3	1	5	8	1	2
MIR126	0	0	0	0	0	0	0	0
AGPAT2	461	738	411	394	720	675	354	284
DIPK1B	15	20	19	10	29	23	3	6
SNHG7	1371	2232	703	814	1403	1167	653	654
SNORA17B	0	0	1	0	0	0	0	0
SNORA17A	0	0	0	0	0	0	0	0
LCN10	37	30	98	68	154	107	52	50
LCN6	1	0	0	0	2	0	0	0
LOC100128593	0	1	0	0	0	0	0	0
MIR6722	0	0	0	0	0	0	0	0
LCN8	0	0	0	2	0	2	0	0
LCN15	0	3	1	1	1	4	0	1
LOC107987143	0	2	2	0	0	2	0	1
TMEM141	361	512	370	299	705	561	303	228
CCDC183	78	148	80	54	76	88	48	53
CCDC183-AS1	244	407	224	341	496	540	260	205
RABL6	3849	5769	3833	4529	7713	7341	3615	3363
MIR4292	0	0	0	0	0	0	0	0
AJM1	65	108	56	48	83	127	63	55
PHPT1	1298	2091	1201	1237	2405	2276	987	1002
MAMDC4	569	744	561	460	1079	914	475	335
EDF1	3621	5332	3733	3280	6403	6074	2855	2747
TRAF2	2692	4226	2240	2383	4256	3987	2150	1940
LOC105376326	20	38	18	27	34	17	18	28
MIR4479	0	0	0	0	0	0	0	0
FBXW5	1694	2677	1359	1552	2856	2839	1413	1216
C8G	7	7	7	3	10	4	2	2
LCN12	22	20	19	36	52	49	24	15
LINC02692	0	0	0	0	0	1	0	0
PTGDS	0	0	0	0	0	0	0	0
LCNL1	0	0	0	0	0	0	0	0
PAXX	324	342	261	319	498	561	240	204
CLIC3	3	4	1	0	5	1	0	0
ABCA2	66	80	49	70	146	144	66	41
C9orf139	38	63	56	41	118	73	37	34
FUT7	25	29	51	36	103	64	45	29
NPDC1	19	12	7	10	25	24	13	1
ENTPD2	33	44	41	30	49	55	27	22
LOC105376327	0	0	0	0	1	0	0	0
SAPCD2	395	620	368	364	701	596	304	266
UAP1L1	678	1105	841	702	1639	1475	750	600
MAN1B1-DT	49	59	45	26	59	44	27	31
MAN1B1	1852	2982	1475	1438	2914	2633	1302	1261
LOC101930307	327	659	361	290	615	520	262	249
DPP7	1378	2143	1364	1423	2478	2502	1246	1118
GRIN1	13	24	7	15	22	12	3	2
LOC105376328	4	8	0	1	5	2	5	5
LRRC26	34	36	25	31	65	51	31	8
MIR3621	0	0	0	0	0	0	0	0
TMEM210	0	1	0	0	0	0	0	0
ANAPC2	1787	2787	1455	1605	2783	2707	1340	1337
SSNA1	1096	1807	823	997	1799	1721	770	811
TPRN	360	576	382	301	573	606	326	259
TMEM203	579	854	522	527	1036	937	463	413
NDOR1	2217	3196	1995	2239	3683	3506	1771	1578
RNF208	64	106	74	59	135	153	63	51
CYSRT1	18	14	11	6	15	23	5	12
RNF224	2	3	0	1	2	5	0	0
SLC34A3	3	1	0	2	1	2	2	1
TUBB4B	3558	4565	3705	3594	6738	6464	3210	2848
FAM166A	19	24	16	15	20	25	16	8
STPG3-AS1	65	61	31	41	65	64	43	16
STPG3	2	4	3	3	1	6	2	0
NELFB	2277	3439	1999	2203	3620	3662	1728	1655
TOR4A	1125	1822	988	1090	1908	2034	922	856
NRARP	52	49	35	41	87	66	25	35
EXD3	609	974	499	523	932	902	363	381
NOXA1	54	69	36	45	96	112	52	39
ENTPD8	0	0	0	1	0	0	0	0
NSMF	694	1011	628	718	1338	1248	682	644
MIR7114	0	0	0	0	0	0	0	0
PNPLA7	954	1435	623	493	1180	1027	560	493
MRPL41	651	1134	608	836	1219	1225	557	602
DPH7	1093	1705	862	1002	1765	1609	776	756
ZMYND19	435	657	550	559	1099	966	461	452
ARRDC1	986	1584	765	854	1392	1452	644	697
ARRDC1-AS1	528	731	430	489	782	795	317	341
EHMT1	12342	19974	8701	9170	16751	15879	7990	7545
LOC651337	0	0	1	2	0	2	0	0
MIR602	2	4	3	2	7	3	3	1
LOC100133077	0	0	0	0	1	0	0	0
CACNA1B	43	90	26	30	66	42	18	35
LOC105376331	0	0	0	0	0	0	0	0
LOC101928786	0	0	0	0	0	0	0	0
TUBBP5	89	113	46	88	172	134	58	74
LOC101928932	0	0	0	0	0	0	0	0
LOC107987145	0	0	0	0	0	0	0	0
FAM157B	722	1159	727	716	1278	1305	584	534
LOC112267861	265	324	258	202	353	299	131	145
LOC105376333	142	210	137	144	218	268	105	110
LOC105376332	1	1	0	0	0	1	0	0
ND1	50968	66319	33935	41634	66028	68060	31490	26904
ND2	34802	46004	24207	27015	43164	45428	20835	17451
COX1	203184	271640	158927	164199	278941	287088	141614	113759
COX2	57987	73467	46088	41174	77909	79236	37916	30399
ATP8	21113	32494	17833	20579	27251	32430	13752	14215
ATP6	70272	98724	44558	62784	92498	90136	46181	41180
COX3	103173	138631	80122	83910	135776	137907	66401	54839
ND3	13216	15758	19677	7630	17738	17247	7575	6823
ND4L	28979	37669	24868	22837	39666	40013	19480	14293
ND4	116645	153676	80933	90000	155510	159776	79616	63271
ND5	78057	101995	58069	64697	103259	106121	53133	44388
ND6	20281	29099	22498	15390	32844	31001	12593	12332
CYTB	41332	57035	31193	33918	50658	52499	25737	23107
LOC389831	769	1023	606	539	1268	1066	507	458
LOC105379275	0	1	0	2	5	0	1	1
LOC101927555	1	0	0	2	0	0	1	0
LOC107987359	0	0	0	0	0	0	0	0
LOC100288966	0	0	0	0	0	0	0	0
LOC105379417	4	4	5	4	5	8	4	2
LOC101927088	0	2	0	0	1	1	0	0
LOC100233156	2919	4528	2351	2203	4434	4129	2039	1867
LOC389834	444	749	348	342	648	625	322	248
LOC283788	2871	3947	2078	2098	4077	3404	1701	1442
LOC105379420	72	80	50	58	105	84	37	24
LOC100507395	9	7	10	4	9	8	5	3
LOC100507412	17390978	22960728	16844301	17587984	30522456	24585129	14275002	13694748
RNA45SN5	17385315	22943784	16776311	17587100	30519831	24522772	14273808	13693766
RNA18SN5	11901153	15825142	11716838	13317616	20981349	17793499	10027647	9968134
RNA5-8SN5	1314	5838	6644	2076	3864	3243	987	3930
RNA28SN5	5116621	6404140	4583915	4024640	7526829	6359569	3896044	3552120
LOC112268313	4860	6066	3957	4374	9049	15613	4205	4784
LOC102723630	0	0	0	0	0	0	0	0
LOC102724902	0	0	0	0	0	0	0	0
LOC100505874	0	2	0	1	0	1	0	0
LOC105379566	322	546	273	273	472	455	206	226
LOC107987401	33	26	35	22	38	41	17	17
LOC102725051	3	2	1	2	2	5	1	2
LOC107984150	1	2	0	0	1	0	1	0
LOC102723347	1	0	0	0	0	0	1	0
LOC112268318	19	24	9	4	21	23	10	5
LOC102723382	7	8	6	5	6	15	17	3
LOC102723393	0	0	0	0	0	0	0	0
LOC105379554	0	3	4	1	1	4	1	0
LOC112268317	7	8	9	8	14	18	9	2
LOC101929819	597	845	667	510	967	940	462	376
LOC107987399	52	58	37	32	43	59	18	15
LOC107987398	265	347	162	146	357	325	146	115
LOC105379557	0	0	0	0	0	0	0	0
LOC105379561	8	6	9	4	16	12	5	7
LOC105379562	1	0	1	0	1	1	2	0
LOC112267916	15	20	13	14	42	15	16	0
LOC105379563	0	0	0	0	0	0	0	0
LOC105379564	1	7	7	6	8	6	3	5
LOC102723847	0	0	2	0	1	0	1	0
LOC105379565	0	0	2	0	1	2	0	2
PLCXD1	2938	4046	3663	2979	6143	5704	2935	2309
GTPBP6	1838	2580	1455	1744	3194	2911	1422	1343
LINC00685	140	274	158	158	256	321	148	136
LOC102724521	36	37	18	26	56	47	21	31
SHOX	0	0	0	0	0	0	0	0
CRLF2	13	19	9	15	26	17	12	17
LOC107985697	5	8	7	13	3	7	4	6
CSF2RA	12	14	13	14	25	5	6	6
LOC112268304	0	0	0	0	0	0	0	0
MIR3690	0	0	0	0	0	0	0	0
IL3RA	880	1443	841	853	1341	1382	704	692
LOC101928032	62	128	48	46	88	54	34	31
LOC101928055	477	714	336	266	560	411	246	223
SLC25A6	18285	27427	15732	15762	26950	28205	12902	12606
LOC105373102	1477	2385	1706	1671	3007	2725	1275	1139
LINC00106	648	982	672	649	1305	1263	604	551
ASMTL-AS1	1391	2141	1599	1468	2796	2375	1202	1157
ASMTL	1554	2425	1691	1725	3088	2925	1406	1344
P2RY8	9807	14903	9230	8604	17381	15779	7926	7122
AKAP17A	3903	5876	3612	3385	7158	6454	3087	2831
ASMT	2732	4096	2549	2324	5018	4481	2154	1966
LOC107985706	541	952	606	447	979	962	489	396
LOC107985637	91	147	93	79	159	149	88	72
LOC105373105	664	959	568	541	1034	920	487	411
LOC105379414	47	107	48	38	97	83	28	32
LOC105379413	93	161	108	84	173	167	81	65
LOC107985677	0	0	0	0	1	0	0	0
DHRSX	4351	6823	3976	4273	7561	7403	3574	3338
ZBED1	1672	2477	1567	1557	2884	2717	1371	1180
LOC101928092	41	62	31	27	70	68	23	15
MIR6089	0	0	0	0	0	0	0	0
CD99P1	770	1140	696	652	1161	1031	516	495
LINC00102	0	0	0	0	0	1	3	0
CD99	3494	5165	2729	2631	5104	4744	2245	2073
XG	8	4	8	4	13	2	1	1
GYG2	0	2	0	3	1	0	0	1
ARSD	215	276	139	175	288	228	149	113
ARSD-AS1	0	0	0	0	0	0	0	0
ARSL	1	0	0	1	3	2	2	1
ARSH	0	1	0	0	0	0	0	0
ARSF	0	0	0	0	0	0	1	0
LINC01546	0	1	1	0	0	0	0	0
MXRA5	0	0	0	1	0	0	0	0
SNORA48B	0	2	0	0	0	0	0	0
PRKX	4397	6292	2998	2765	5754	4853	2640	2022
PRKX-AS1	0	0	0	0	0	3	0	2
LOC389906	3286	4880	2748	2897	5297	4878	2506	2111
FAM239A	3203	4371	2832	2803	4991	4338	2413	2136
FAM239B	3497	4737	2986	2975	5302	4763	2598	2233
FAM239C	768	929	575	595	1120	811	549	445
LOC101928201	0	0	0	0	0	0	0	0
LOC101928228	0	0	0	0	1	0	0	0
NLGN4X	316	442	326	322	580	554	311	204
LOC105373156	21	20	7	13	27	24	8	5
MIR4770	0	0	0	0	0	0	0	0
VCX3A	4	1	3	0	4	2	4	0
LOC107987331	0	0	0	0	0	0	0	0
PUDP	2918	3991	2365	2289	4434	4072	2052	1715
STS	3414	4862	2644	2548	5588	5225	2238	1873
MIR4767	0	0	0	0	0	0	0	0
VCX	0	1	3	2	3	3	0	0
PNPLA4	408	503	307	266	544	466	252	192
LOC107985675	2574	4028	1842	1961	3530	3665	1587	1679
MIR651	0	0	0	0	0	0	0	0
VCX2	1	0	1	0	1	1	0	1
LOC107985676	27	46	19	22	34	32	15	19
VCX3B	3	1	7	0	7	2	3	1
LOC107985716	0	0	0	0	0	0	0	0
LOC107985715	0	0	1	0	1	1	0	2
ANOS1	1	2	2	2	0	1	0	0
FAM9A	0	0	0	1	0	0	0	0
LOC105373125	0	0	0	0	0	0	0	0
FAM9B	0	0	0	0	0	0	0	0
LOC107985634	92	116	61	56	110	135	66	34
TBL1X	3420	5362	2329	2432	4130	4250	1974	1873
GPR143	0	0	2	0	2	0	0	0
LOC105373126	0	0	0	0	0	1	1	3
LOC107985658	0	0	0	0	0	0	0	0
SHROOM2	0	4	0	0	2	1	5	0
CLDN34	0	0	0	0	0	0	0	0
WWC3	704	881	569	575	1113	956	512	438
CLCN4	43	56	33	31	81	50	30	35
MID1	8	10	19	10	24	24	7	5
HCCS	469	651	481	499	923	760	380	406
ARHGAP6	3626	5060	3812	3781	6804	6636	3504	2896
LOC107985627	1	0	0	1	0	0	1	0
AMELX	0	0	0	0	2	0	0	0
MIR548AX	0	0	0	0	0	0	0	0
LOC105373131	4	15	3	11	11	6	4	6
MSL3	3397	4260	2837	2535	5159	4513	2391	1798
FRMPD4	70	55	54	29	123	112	39	48
PRPS2	1940	2480	1800	1709	3251	2831	1483	1269
TLR7	2601	3464	1803	1675	3158	3192	1669	1137
TLR8-AS1	9	19	10	9	24	10	7	2
TLR8	3	1	0	2	2	4	0	0
TMSB4X	129500	188279	133832	117107	245593	212173	99056	99458
FAM9C	4	5	2	2	0	3	5	0
LOC105373133	35	60	23	19	53	40	21	24
LOC105373134	74	85	45	40	67	63	39	25
LINC02154	2	5	5	1	9	3	5	1
LOC107985701	37	51	23	18	36	41	30	15
GS1-600G8.3	111	129	84	67	110	98	69	65
ATXN3L	0	0	0	0	0	0	0	0
LINC01203	30	46	27	17	46	31	17	7
LOC105373137	34	43	18	20	31	27	29	19
EGFL6	8	6	5	7	5	9	5	5
MIR6086	0	0	0	0	0	0	0	0
LOC107985657	12	10	3	7	7	10	3	3
TCEANC	139	177	105	82	217	172	95	85
LOC107985656	18	27	14	12	20	26	12	10
RAB9A	1570	2266	1425	1309	2544	2159	1157	974
TRAPPC2	1335	1893	874	860	1670	1546	741	633
OFD1	2954	4154	2656	2324	4998	4052	2265	1673
GPM6B	2	2	0	3	4	5	0	4
LOC105373138	13	52	20	38	53	40	18	33
GEMIN8	1131	1589	863	877	1616	1440	819	566
UBE2E4P	27	46	37	21	41	41	19	25
GLRA2	0	1	2	0	1	4	0	0
LOC107985686	2	3	1	0	10	6	1	1
FANCB	170	226	226	189	346	316	144	102
MOSPD2	498	714	403	396	918	706	384	328
LOC102724092	0	0	0	0	1	1	0	1
ASB9	7	6	14	2	9	8	7	3
ASB11	0	0	0	2	1	2	2	3
PIGA	450	561	462	397	776	683	348	235
PIR-FIGF	334	428	442	369	766	640	335	283
VEGFD	9	16	14	18	33	24	12	18
PIR	373	485	480	394	857	729	372	297
BMX	0	0	0	1	0	0	0	0
ACE2	2	5	1	4	3	0	1	0
GS1-594A7.3	0	0	0	0	0	0	0	0
CLTRN	27	35	16	20	29	28	22	16
CA5BP1	1373	1720	890	897	1721	1505	714	635
CA5BP1-CA5B	1550	2011	1056	1094	2023	1786	846	751
CA5B	254	366	244	251	413	406	189	185
INE2	2	3	0	1	1	0	0	1
ZRSR2	1902	2788	1957	1742	3029	2836	1388	1296
AP1S2	3676	4699	3460	3431	6623	5670	2985	2300
GRPR	75	66	79	58	95	108	52	24
MAGEB17	5	9	3	0	6	7	1	1
CTPS2	1847	2693	1441	1523	2708	2455	1234	1078
MIR548AM	0	0	0	0	0	0	0	0
S100G	0	0	0	0	0	0	0	0
SYAP1	2194	3184	1920	1858	3574	3277	1606	1351
TXLNG	1523	2126	1474	1443	2612	2246	1225	1124
RBBP7	3456	4642	2964	2944	5671	4544	2325	2142
REPS2	32	48	9	19	33	30	20	14
NHS	12	7	5	6	8	9	5	2
MIR4768	0	0	0	0	0	0	0	0
LOC101928389	0	0	2	2	3	2	0	0
NHS-AS1	0	0	0	0	0	0	0	0
LOC105373142	1	3	2	0	3	1	0	1
SCML1	300	333	323	246	685	532	287	183
RAI2	2	2	0	0	0	0	1	0
LINC01456	2	5	2	0	2	3	1	2
BEND2	0	0	1	0	0	3	0	0
SCML2	11	23	16	6	16	22	11	4
CDKL5	1026	1481	777	809	1574	1331	670	608
RS1	0	4	3	1	0	0	2	1
PPEF1	35	63	37	24	59	47	15	30
PPEF1-AS1	3	0	0	0	0	0	0	0
PHKA2-AS1	49	52	32	39	79	57	33	17
PHKA2	1515	2062	1085	1146	2155	2058	1030	951
LOC101928415	95	105	54	53	111	125	44	57
ADGRG2	1	6	0	1	6	6	0	1
PDHA1	2282	3220	2390	2331	4345	4011	1886	1729
MAP3K15	22	22	17	20	42	38	25	13
SH3KBP1	14116	21223	11936	11664	22220	20707	10952	9299
BCLAF3	914	1177	668	680	1327	1122	571	466
LOC729609	17	21	8	5	19	23	10	2
MIR23C	5	0	2	0	1	2	1	1
MAP7D2	165	231	130	80	223	178	109	70
EIF1AX	4159	5024	4045	3567	7268	5732	3057	2421
SCARNA9L	33	21	56	6	36	33	20	15
EIF1AX-AS1	0	0	0	0	2	1	0	2
RPS6KA3	3609	4770	3145	2889	5889	4958	2577	2087
LOC105373146	10	16	8	16	13	13	6	9
CNKSR2	356	547	450	446	745	598	385	240
KLHL34	0	2	2	1	0	5	1	0
SMPX	0	0	0	0	3	0	0	0
MBTPS2	805	1143	749	645	1352	1205	638	515
YY2	66	94	73	66	105	60	47	46
SMS	2554	3350	2461	2555	4617	4109	2232	1820
PHEX	9	22	33	27	39	33	27	14
PHEX-AS1	0	0	0	0	0	0	0	0
PTCHD1-AS	22	22	18	17	20	12	7	9
CBLL2	0	0	0	0	2	0	0	0
DDX53	0	0	0	0	0	0	0	0
PTCHD1	0	0	2	0	0	0	2	0
PRDX4	983	1365	872	897	1693	1571	696	715
ACOT9	1130	1596	1027	1034	1698	1542	801	690
LOC105373148	80	105	77	85	101	124	61	60
SAT1	2705	4224	2546	2324	4487	4045	1998	1890
APOO	4063	5463	5326	3180	6555	5776	2841	2645
CXorf58	12	10	12	6	5	6	8	3
KLHL15	740	878	612	547	1284	1124	535	452
EIF2S3	15521	20755	12493	11766	22409	19270	10061	8612
ZFX-AS1	9	16	13	8	28	17	11	7
ZFX	3137	4226	2793	2584	5161	4369	2395	1805
SUPT20HL2	0	0	0	0	0	0	0	0
SUPT20HL1	0	0	0	0	0	0	0	0
PDK3	3018	4042	2663	2313	4906	4440	2247	1880
PCYT1B	2	6	4	1	2	8	2	0
PCYT1B-AS1	0	0	0	0	0	0	0	0
POLA1	1280	1825	1162	1255	2315	2152	1153	938
SCARNA23	0	0	0	0	0	0	0	0
ARX	0	2	0	0	0	3	0	0
LOC107985652	0	0	0	0	0	0	0	0
LOC107985707	0	0	0	0	0	0	0	0
MAGEB18	0	0	0	0	0	0	0	0
MAGEB6	4	0	0	0	0	0	0	0
MAGEB5	0	0	0	0	0	0	0	0
VENTXP1	0	0	0	0	0	0	0	0
LOC105373150	1	5	0	2	2	0	1	1
PPP4R3C	0	2	0	0	0	0	1	0
DCAF8L2	1	0	0	0	0	0	0	0
MAGEB10	0	0	0	0	0	0	0	0
DCAF8L1	1	0	0	1	2	1	0	0
LOC105373151	1	2	0	1	7	3	0	0
LOC105373152	0	0	0	1	0	0	0	0
MIR6134	0	0	0	0	0	0	0	0
IL1RAPL1	8	16	13	11	10	20	5	6
MIR4666B	0	0	0	0	0	0	0	0
LOC107985632	0	0	0	0	0	0	0	0
MAGEB2	0	0	0	0	2	1	0	0
MAGEB3	1	0	0	0	0	3	0	0
MAGEB4	0	0	0	0	0	2	0	0
MAGEB1	0	0	0	0	0	0	2	0
NR0B1	0	0	0	2	0	1	1	0
CXorf21	2057	2809	1596	1453	2797	2317	1348	1062
GK	1545	2150	1314	1245	2407	2107	999	886
TAB3	1706	2071	1264	1132	2297	1866	1017	827
TAB3-AS1	0	2	0	1	0	0	0	0
FTHL17	0	0	1	0	0	0	0	0
DMD	587	840	395	402	702	656	320	318
MIR3915	0	0	0	0	0	0	0	0
MIR548F5	0	0	0	0	0	0	0	0
LOC105373153	1	1	0	1	0	1	0	0
FAM47A	0	0	0	0	0	0	0	0
LOC107985674	0	0	0	0	0	0	0	0
TMEM47	0	0	3	0	0	0	0	0
FAM47B	0	0	2	0	0	0	0	0
MAGEB16	0	0	0	0	0	0	0	0
CFAP47	0	3	0	0	0	0	2	0
LOC101928627	0	1	0	0	1	3	0	0
LOC105373155	0	0	0	0	0	0	0	0
LOC105373154	0	0	0	0	1	0	0	0
FAM47C	0	0	0	0	0	0	0	0
FTHL18	0	0	0	0	0	0	0	0
PRRG1	1	5	1	3	2	2	0	1
LANCL3	10	13	3	9	10	13	2	6
XK	17	19	7	8	8	13	8	7
CYBB	8557	12164	6019	6152	10985	10155	5213	4419
DYNLT3	314	393	271	241	468	371	219	174
H2AP	0	0	0	0	0	0	0	0
MIR548AJ2	0	0	0	0	0	0	0	0
SYTL5	1	1	1	1	0	1	0	0
SRPX	3	7	4	6	6	7	8	3
RPGR	602	728	446	421	849	639	323	304
OTC	0	0	0	0	0	0	1	0
TSPAN7	2	2	2	0	4	8	0	1
LOC105373174	89	117	70	89	161	95	78	39
MID1IP1-AS1	27	29	20	14	29	36	13	23
MID1IP1	2169	3681	1876	2279	4016	3912	1643	1556
LOC105373175	27	28	8	7	23	4	9	6
LINC01281	0	0	0	1	0	0	0	0
LINC01282	0	0	0	0	0	0	0	0
LOC105373176	0	0	0	0	0	0	0	0
LINC01283	0	2	0	1	2	3	1	0
MIR3937	0	0	0	0	0	0	0	0
LOC105373178	0	0	0	0	0	0	0	0
LOC105373177	0	0	0	0	0	0	0	0
MIR1587	0	0	0	0	0	0	0	0
LOC105373180	2	4	0	2	1	3	0	0
BCOR	1992	2877	1461	1416	2649	2606	1272	1101
LOC107985687	45	79	33	32	64	51	26	29
LOC105373181	26	34	13	14	28	48	12	15
LOC101927476	0	2	1	0	0	0	0	1
LOC105373182	5	2	3	2	7	7	0	1
ATP6AP2	1594	2075	1558	1549	2906	2328	1268	1058
MPC1L	0	0	0	0	0	0	0	0
CXorf38	1669	2217	1143	1219	2420	2122	1081	953
MED14	3116	4307	2608	2766	5428	4846	2390	2013
MED14OS	7	3	3	5	12	5	3	2
LOC100132831	1	0	0	0	0	0	0	0
USP9X	7911	10753	6960	6440	12876	11208	6034	5042
LINC02601	1	0	2	0	0	2	0	1
LOC105373184	167	283	93	88	231	178	67	102
DDX3X	1664	2411	1664	1846	3027	2606	1387	1224
LOC107985678	275	386	213	208	371	330	186	180
NYX	14	25	17	13	21	20	4	14
CASK	2576	3942	2185	2250	3893	3570	1792	1580
GPR34	24	21	10	11	31	17	15	5
GPR82	12	12	42	21	59	54	31	24
LOC105373186	0	5	0	0	0	2	0	0
PPP1R2C	0	0	0	0	1	0	0	0
LOC107985717	84	161	55	64	145	141	81	56
LOC105373188	6	1	1	1	0	2	1	1
PINCR	6	14	8	9	32	27	7	12
MAOA	2	3	1	0	0	0	0	0
MAOB	4	1	1	1	2	3	0	0
NDP	0	0	0	0	0	0	0	0
NDP-AS1	0	0	0	0	0	0	0	0
EFHC2	5	12	10	0	15	12	3	1
FUNDC1	299	350	289	255	492	357	215	169
DUSP21	0	0	0	0	0	0	0	0
LOC105373190	0	0	0	0	0	0	0	0
KDM6A	5604	8899	4622	4655	9056	8385	4019	3439
DIPK2B	0	0	0	0	0	0	0	0
LOC105373191	0	0	0	0	0	0	0	0
LINC01204	0	0	0	0	0	0	0	0
LOC392452	0	0	0	0	0	0	0	0
MIR221	19	23	10	14	37	23	14	11
MIR222	2	3	11	10	12	13	3	6
LINC02595	0	0	0	0	1	4	0	0
LINC01186	0	0	0	0	0	0	0	0
KRBOX4	1086	1551	793	665	1415	1214	635	457
ZNF674	351	582	288	299	502	492	235	208
ZNF674-AS1	138	164	111	101	174	173	105	75
CHST7	697	1138	552	614	951	938	434	475
SLC9A7	8723	12651	6832	7291	12881	12314	6133	5263
RP2	505	722	454	424	786	743	379	283
LINC01545	0	2	1	0	0	3	1	0
JADE3	174	299	173	148	336	289	153	125
RGN	1	2	2	0	1	1	0	0
LOC105373193	13	8	7	7	12	13	5	4
LOC107985720	60	101	36	39	95	65	27	30
NDUFB11	1385	2136	1545	1394	2369	2344	1116	1013
RBM10	1523	2078	1188	1199	2325	2161	1113	915
UBA1	9756	14160	8990	9600	16038	17011	8088	7623
INE1	106	156	90	102	162	142	74	76
LOC105373194	14	38	26	31	50	35	23	21
CDK16	1736	2292	1284	1243	2662	2526	1110	1011
USP11	1648	2521	1273	1168	2270	2174	1016	952
ZNF157	8	21	16	6	39	22	10	13
SNORA11C	0	0	0	0	0	0	0	0
ZNF41	990	1439	795	807	1463	1315	630	607
LINC01560	118	182	122	103	191	175	88	71
ARAF	714	965	647	691	1212	1250	598	480
SYN1	9	29	8	6	21	26	8	12
TIMP1	617	915	783	642	1133	1177	592	481
MIR4769	1	0	0	2	0	0	0	0
CFP	138	241	115	93	186	193	90	74
ELK1	1201	1742	1429	1226	2349	2278	1097	953
UXT	1655	2439	1765	1431	2831	2600	1195	1195
UXT-AS1	19	45	11	11	38	36	16	11
CXXC1P1	0	0	0	0	0	0	0	0
ZNF81	1197	1519	1179	1112	2034	1741	875	791
ZNF182	801	999	591	599	1177	982	511	412
